system:index,bedrock,clay,dem,erosion,hand,latitude,longitude,precip,sand,slope,soc,spatial_fold,suit_score,twi,typhoon,.geo
0,0.0,26.0,20.0,12.205561637878418,20.0,18.57208377350686,110.08607844719722,2085.37158203125,42.0,0.7773006558418274,3.0,1.0,0.7186629415147132,14.059710502624512,45.0,"{""type"":""Point"",""coordinates"":[110.08810890232886,18.574191833817743]}"
1,0.0,23.0,119.0,18.27056312561035,54.0,19.259294965858295,110.07709529435607,2513.426025390625,48.0,0.9256881475448608,3.0,2.0,0.7305941006359933,13.826116561889648,38.0,"{""type"":""Point"",""coordinates"":[110.0762289804326,19.25878917967303]}"
2,0.0,29.0,782.0,59.625797271728516,660.0,19.115564520399175,109.21022104518073,2375.537353515625,47.0,14.568042755126953,9.0,2.0,0.5871705423945482,10.527397155761719,39.0,"{""type"":""Point"",""coordinates"":[109.21153321873435,19.117709496100176]}"
3,0.0,32.0,399.0,47.57109832763672,202.0,19.052682450510808,109.40785040768702,2328.90869140625,36.0,7.013795375823975,4.0,2.0,0.6122284455372196,11.607999801635742,42.0,"{""type"":""Point"",""coordinates"":[109.40616044474183,19.05224947491745]}"
4,0.0,24.0,28.0,7.433014869689941,27.0,19.784809407068217,110.84066328585766,1885.602294921875,54.0,0.6697322726249695,5.0,4.0,0.7053119882590535,12.989968299865723,44.0,"{""type"":""Point"",""coordinates"":[110.83980343007184,19.78300707530415]}"
5,0.0,24.0,35.0,15.486320495605469,35.0,18.343013376056383,109.52463139462253,1910.6126708984375,54.0,1.763452172279358,3.0,0.0,0.7048965329158905,13.23155689239502,41.0,"{""type"":""Point"",""coordinates"":[109.52405400224609,18.34376687831744]}"
6,0.0,24.0,109.0,14.414960861206055,40.0,19.33116018858786,110.18489312845037,2494.969482421875,49.0,0.573488712310791,3.0,3.0,0.7473540823395127,14.311075210571289,38.0,"{""type"":""Point"",""coordinates"":[110.18299536923713,19.332992612559522]}"
7,0.0,31.0,319.0,40.241390228271484,169.0,19.232345507334713,109.5964966173521,2420.150146484375,38.0,4.545291423797607,4.0,2.0,0.6438561411969297,12.102145195007324,39.0,"{""type"":""Point"",""coordinates"":[109.59548037989083,19.231223206054857]}"
8,0.0,24.0,142.0,45.0421257019043,68.0,19.367092799952644,109.86599120258796,2506.4521484375,47.0,4.330911636352539,4.0,3.0,0.6951274105511485,12.26711654663086,39.0,"{""type"":""Point"",""coordinates"":[109.86433697794055,19.368361250923613]}"
9,0.0,23.0,123.0,16.628049850463867,58.0,19.26827811869949,110.09057002361783,2513.426025390625,47.0,0.7491510510444641,3.0,2.0,0.7222591956088892,14.03529167175293,39.0,"{""type"":""Point"",""coordinates"":[110.08980111669506,19.26937602124172]}"
